B014TMV5YE,"Sion Softside Expandable Roller Luggage, Black, Checked-Large 29-Inch",4.5,0,139.99,0,104,FALSE,2000
B07GDLCQXV,Luggage Sets Expandable PC+ABS Durable Suitcase Double Wheels TSA Lock Blue,4.5,0,169.99,209.99,104,FALSE,1000
B07XSCCZYG,"Platinum Elite Softside Expandable Checked Luggage, 8 Wheel Spinner Suitcase, TSA Lock, Men and Women, True Navy Blue, Checked Medium 25-Inch",4.6,0,365.49,429.99,104,FALSE,300
B08MVFKGJM,"Freeform Hardside Expandable with Double Spinner Wheels, Navy, 2-Piece Set (21/28)",4.6,0,291.59,354.37,104,FALSE,400
B01DJLKZBA,"Winfield 2 Hardside Expandable Luggage with Spinner Wheels, Checked-Large 28-Inch, Deep Blue",4.5,0,174.99,309.99,104,FALSE,400
B07XSCD2R4,"Maxlite 5 Softside Expandable Luggage with 4 Spinner Wheels, Lightweight Suitcase, Men and Women, Sapphire Blue, Carry-On 21-Inch",4.5,0,144.49,0,104,FALSE,500
B07MXF4G8K,"Hard Shell Carry on Luggage Airline Approved, Carry on Suitcases with Wheels, Lightweight PC Luminous Textured Travel Luggage, TSA Approved, 20 Inch Small Carry-On, Black",4.5,0,169.99,0,104,FALSE,400
B07H515VCZ,"Maxporter II 30"" Hardside Spinner Trunk Luggage, Expandable, Navy",4.5,0,299.99,0,104,FALSE,100
B08BXBCNMQ,"Omni 2 Hardside Expandable Luggage with Spinner Wheels, Checked-Large 28-Inch, Arctic Silver",4.5,0,112.63,137.04,104,FALSE,500
B0B9K44XTS,Luggage Sets Expandable Lightweight Suitcases with Wheels PC+ABS Durable Travel Luggage TSA Lock Navy Blue 4pcs,4.4,0,209.99,0,104,FALSE,200
B07QZLHTTY,"Crew Versapack Softside Expandable 8 Spinner Wheel Luggage, USB Port, Men and Women, Patriot Blue, Checked Medium 25-Inch",4.7,0,271.99,319.99,104,FALSE,100
B01HIATG6I,"Chatelet Hard+ Hardside Luggage with Spinner Wheels, Champagne White, Checked-Large 28 Inch, with Brake",4.6,0,259.6,413.33,104,FALSE,100
B07QXD3J9G,"Crew Versapack Softside Expandable 8 Spinner Wheel Luggage, USB Port, Men and Women, Jet Black, Carry on 20-Inch",4.5,0,323.99,0,104,FALSE,100
B081JDHNX1,"Centric 2 Hardside Expandable Luggage with Spinners, True Navy, 3-Piece Set (20/24/28)",4.5,0,399.92,699.97,104,FALSE,100
B07DMBG7CX,Xpedition 30 Inch Multi-Pocket Upright Rolling Duffel Bag,4.3,0,42,0,104,FALSE,300
B0B2X1BDFH,"Stratum 2.0 Expandable Hardside Luggage with Spinner Wheels, 28"" SPINNER, Slate Blue",4.5,0,89.95,139.99,104,FALSE,300
B00GI3572E,"Women's Spinner Mobile Office, Black, One Size",4.6,0,164.99,174.99,104,FALSE,200
B084P184MG,"Ascella X Softside Expandable Luggage with Spinners, Black, Checked-Large 29-Inch",4.5,0,198.41,209.99,104,FALSE,100
B094LVRCZD,"Boren Polycarbonate Hardside Rugged Travel Suitcase Luggage with 8 Spinner Wheels, Aluminum Handle, Black, Checked-Large 30-Inch",3.9,0,99.99,0,104,FALSE,300
B072Z7K96L,Clear PVC Suitcase Cover Protectors 28 Inch Luggage Cover for Wheeled Suitcase (28''(24.80''H x 19.90''L x 12.40''W)),4.2,0,17.99,19.99,104,FALSE,1000
